Divipola,Departamento,Municipio,Numerador,Denominador,ValorIndicador,Anio
47288,Magdalena,Fundación,3,1276,235.11,2007
76364,Valle del Cauca,Jamundí,0,1424,0.00,2007
81001,Arauca,Arauca,0,1562,0.00,2007
15238,Boyacá,Duitama,1,1903,52.55,2007
13490,Bolívar,Norosí,0,0,#¡DIV/0!,2007
19300,Cauca,Guachené ,0,110,0.00,2007
23682,Córdoba ,San José de Uré(1),0,0,#¡DIV/0!,2007
23815,Córdoba ,Tuchín,0,0,#¡DIV/0!,2007
94885,Guainía,La Guadalupe (ANM),0,0,#¡DIV/0!,2007
94888,Guainía,Morichal (ANM),0,0,#¡DIV/0!,2007
94884,Guainía,Puerto Colombia (ANM),0,1,0.00,2007
27430,Chocó,Medio Baudó,0,23,0.00,2007
97666,Vaupés,Taraira,0,34,0.00,2007
97161,Vaupés,Caruru,1,39,2564.10,2007
27425,Chocó,Medio Atrato,0,34,0.00,2007
27491,Chocó,Nóvita,0,26,0.00,2007
27250,Chocó,El Litoral del San Juan,0,24,0.00,2007
27073,Chocó,Bagadó,0,100,0.00,2007
25867,Cundinamarca,Vianí,0,43,0.00,2007
19809,Cauca,Timbiquí,0,73,0.00,2007
99624,Vichada,Santa Rosalía,0,73,0.00,2007
15293,Boyacá,Gachantivá,0,33,0.00,2007
94343,Guainía,Barranco Minas,0,39,0.00,2007
68217,Santander,Coromoro,0,91,0.00,2007
5576,Antioquia,Pueblorrico,0,106,0.00,2007
73873,Tolima,Villarrica,0,89,0.00,2007
76845,Valle del Cauca,Ulloa,0,67,0.00,2007
15464,Boyacá,Mongua,0,94,0.00,2007
15897,Boyacá,Zetaquira,0,57,0.00,2007
54520,Norte de Santander,Pamplonita,0,73,0.00,2007
27050,Chocó,Atrato,0,67,0.00,2007
19290,Cauca,Florencia,0,85,0.00,2007
47545,Magdalena,Pijiño del Carmen,0,177,0.00,2007
25596,Cundinamarca,Quipile,0,77,0.00,2007
25841,Cundinamarca,Ubaque,0,87,0.00,2007
70400,Sucre,La Unión,0,172,0.00,2007
41357,Huila,Iquira,0,196,0.00,2007
50150,Meta,Castilla la Nueva,0,137,0.00,2007
13074,Bolívar,Barranco de Loba,1,142,704.23,2007
41349,Huila,Hobo,0,111,0.00,2007
25845,Cundinamarca,Une,0,81,0.00,2007
52051,Nariño,Arboleda,0,134,0.00,2007
25488,Cundinamarca,Nilo,0,94,0.00,2007
68773,Santander,Sucre,0,113,0.00,2007
85225,Casanare,Nunchía,0,129,0.00,2007
13667,Bolívar,San Martín de Loba,1,180,555.56,2007
5113,Antioquia,Buriticá,0,113,0.00,2007
25535,Cundinamarca,Pasca,0,147,0.00,2007
19392,Cauca,La Sierra,0,145,0.00,2007
5842,Antioquia,Uramita,0,123,0.00,2007
50350,Meta,La Macarena,0,125,0.00,2007
13600,Bolívar,Río Viejo ,0,176,0.00,2007
17433,Caldas,Manzanares,0,359,0.00,2007
50370,Meta,Uribe,1,50,2000.00,2007
19513,Cauca,Padilla,0,116,0.00,2007
15183,Boyacá,Chita,0,137,0.00,2007
41078,Huila,Baraya,0,147,0.00,2007
20443,Cesar,Manaure,0,109,0.00,2007
73026,Tolima,Alvarado,1,119,840.34,2007
13030,Bolívar,Altos del Rosario,0,150,0.00,2007
52490,Nariño,Olaya Herrera,2,277,722.02,2007
25769,Cundinamarca,Subachoque,0,186,0.00,2007
44855,La Guajira,Urumita,0,199,0.00,2007
15693,Boyacá,Santa Rosa de Viterbo,0,147,0.00,2007
18410,Caquetá,La Montañita,0,184,0.00,2007
5240,Antioquia,Ebéjico,0,147,0.00,2007
18205,Caquetá,Curillo,0,159,0.00,2007
66456,Risaralda,Mistrató,0,215,0.00,2007
70124,Sucre,Caimito,0,177,0.00,2007
25148,Cundinamarca,Caparrapí,0,176,0.00,2007
13780,Bolívar,Talaigua Nuevo,0,195,0.00,2007
76890,Valle del Cauca,Yotoco,0,219,0.00,2007
17444,Caldas,Marquetalia,0,228,0.00,2007
41676,Huila,Santa María,0,230,0.00,2007
50287,Meta,Fuente de Oro,0,239,0.00,2007
25402,Cundinamarca,La Vega,0,205,0.00,2007
23419,Córdoba ,Los Córdobas,0,214,0.00,2007
70678,Sucre,San Benito Abad,0,347,0.00,2007
5480,Antioquia,Mutatá,0,211,0.00,2007
76113,Valle del Cauca,Bugalagrande,1,248,403.23,2007
25260,Cundinamarca,El Rosal,0,271,0.00,2007
5585,Antioquia,Puerto Nare,0,264,0.00,2007
73555,Tolima,Planadas,0,523,0.00,2007
97000,Vaupés,Vaupés,3,530,566.04,2007
25214,Cundinamarca,Cota,0,278,0.00,2007
76041,Valle del Cauca,Ansermanuevo,1,277,361.01,2007
23500,Córdoba ,Moñitos,2,293,682.59,2007
20400,Cesar,La Jagua de Ibirico,0,452,0.00,2007
8685,Atlántico,Santo Tomás,0,310,0.00,2007
73449,Tolima,Melgar,1,663,150.83,2007
5591,Antioquia,Puerto Triunfo,0,286,0.00,2007
5079,Antioquia,Barbosa,2,653,306.28,2007
13873,Bolívar,Villanueva,0,348,0.00,2007
5093,Antioquia,Betulia,0,310,0.00,2007
70717,Sucre,San Pedro,0,263,0.00,2007
13744,Bolívar,Simití,1,240,416.67,2007
18247,Caquetá,El Doncello,1,380,263.16,2007
19743,Cauca,Silvia,2,365,547.95,2007
8606,Atlántico,Repelón,0,327,0.00,2007
47570,Magdalena,Puebloviejo,0,380,0.00,2007
17013,Caldas,Aguadas,0,325,0.00,2007
63190,Quindio,Circasia,0,341,0.00,2007
5679,Antioquia,Santa Bárbara,0,352,0.00,2007
19256,Cauca,El Tambo,0,758,0.00,2007
73217,Tolima,Coyaima,1,383,261.10,2007
23672,Córdoba ,San Antero,0,266,0.00,2007
41359,Huila,Isnos,1,383,261.10,2007
86568,Putumayo,Puerto Asís,0,1224,0.00,2007
66594,Risaralda,Quinchía,0,454,0.00,2007
86573,Putumayo,Leguízamo,0,297,0.00,2007
52227,Nariño,Cumbal,0,498,0.00,2007
52678,Nariño,Samaniego,1,418,239.23,2007
20621,Cesar,La Paz,0,395,0.00,2007
25430,Cundinamarca,Madrid,2,1232,162.34,2007
68615,Santander,Rionegro,0,409,0.00,2007
76318,Valle del Cauca,Guacarí,0,410,0.00,2007
54261,Norte de Santander,El Zulia,0,413,0.00,2007
76400,Valle del Cauca,La Unión,0,489,0.00,2007
13468,Bolívar,Mompós,1,572,174.83,2007
5250,Antioquia,El Bagre,2,984,203.25,2007
23580,Córdoba ,Puerto Libertador,2,386,518.13,2007
15516,Boyacá,Paipa,2,456,438.60,2007
47053,Magdalena,Aracataca,1,443,225.73,2007
76130,Valle del Cauca,Candelaria,0,1110,0.00,2007
99000,Vichada,Vichada,4,779,513.48,2007
23855,Córdoba ,Valencia,1,520,192.31,2007
76111,Valle del Cauca,Guadalajara de Buga,0,1650,0.00,2007
17873,Caldas,Villamaría,0,541,0.00,2007
23189,Córdoba ,Ciénaga de Oro,0,701,0.00,2007
73168,Tolima,Chaparral,1,1058,94.52,2007
52838,Nariño,Túquerres,0,694,0.00,2007
8638,Atlántico,Sabanalarga,3,1365,219.78,2007
41006,Huila,Acevedo,0,685,0.00,2007
5440,Antioquia,Marinilla,0,759,0.00,2007
25126,Cundinamarca,Cajicá,0,833,0.00,2007
5212,Antioquia,Copacabana,0,737,0.00,2007
54874,Norte de Santander,Villa del Rosario,0,885,0.00,2007
88001,Archipiélago de San Andrés,San Andrés,1,881,113.51,2007
88000,Archipiélago de San Andrés,"Archipiélago de San Andrés, Providencia y Santa Catalina",1,929,107.64,2007
23466,Córdoba ,Montelíbano,3,879,341.30,2007
15759,Boyacá,Sogamoso,0,1977,0.00,2007
23162,Córdoba ,Cereté,2,1199,166.81,2007
25473,Cundinamarca,Mosquera,0,1257,0.00,2007
41396,Huila,La Plata,3,1248,240.38,2007
17001,Caldas,Manizales,2,4600,43.48,2007
13244,Bolívar,El Carmen de Bolívar,0,1218,0.00,2007
70215,Sucre,Corozal,2,1173,170.50,2007
25899,Cundinamarca,Zipaquirá,3,1811,165.65,2007
25290,Cundinamarca,Fusagasugá,1,1784,56.05,2007
68547,Santander,Piedecuesta,0,1873,0.00,2007
23660,Córdoba ,Sahagún,2,1718,116.41,2007
20011,Cesar,Aguachica,0,1784,0.00,2007
68307,Santander,Girón,0,2153,0.00,2007
85001,Casanare,Yopal,1,2661,37.58,2007
68276,Santander,Floridablanca,4,4111,97.30,2007
5002,Antioquia,Abejorral,0,293,0.00,2007
5004,Antioquia,Abriaquí,0,22,0.00,2007
5021,Antioquia,Alejandría,0,67,0.00,2007
5030,Antioquia,Amagá,0,373,0.00,2007
5031,Antioquia,Amalfi,0,427,0.00,2007
5034,Antioquia,Andes,0,683,0.00,2007
5036,Antioquia,Angelópolis,0,91,0.00,2007
5040,Antioquia,Anorí,0,280,0.00,2007
5044,Antioquia,Anza,0,131,0.00,2007
5055,Antioquia,Argelia,1,143,699.30,2007
5059,Antioquia,Armenia,0,55,0.00,2007
5086,Antioquia,Belmira,0,91,0.00,2007
5091,Antioquia,Betania,0,169,0.00,2007
5107,Antioquia,Briceño,0,220,0.00,2007
5125,Antioquia,Caicedo,0,165,0.00,2007
5129,Antioquia,Caldas,0,960,0.00,2007
5134,Antioquia,Campamento,0,193,0.00,2007
5138,Antioquia,Cañasgordas,0,233,0.00,2007
5142,Antioquia,Caracolí,0,75,0.00,2007
5145,Antioquia,Caramanta,0,70,0.00,2007
5147,Antioquia,Carepa,0,1006,0.00,2007
5148,Antioquia,El Carmen de Viboral,0,693,0.00,2007
5150,Antioquia,Carolina,0,33,0.00,2007
5197,Antioquia,Cocorná,0,197,0.00,2007
5206,Antioquia,Concepción,0,59,0.00,2007
5209,Antioquia,Concordia,0,355,0.00,2007
5237,Antioquia,Don Matías,0,323,0.00,2007
5264,Antioquia,Entrerrios,0,178,0.00,2007
5282,Antioquia,Fredonia,0,295,0.00,2007
5306,Antioquia,Giraldo,0,66,0.00,2007
5308,Antioquia,Girardota,1,547,182.82,2007
5310,Antioquia,Gómez Plata,1,126,793.65,2007
5313,Antioquia,Granada,0,139,0.00,2007
5315,Antioquia,Guadalupe,0,95,0.00,2007
5318,Antioquia,Guarne,0,491,0.00,2007
5321,Antioquia,Guatapé,0,67,0.00,2007
5347,Antioquia,Heliconia,0,70,0.00,2007
5353,Antioquia,Hispania,0,59,0.00,2007
5364,Antioquia,Jardín,0,243,0.00,2007
5368,Antioquia,Jericó,0,170,0.00,2007
5380,Antioquia,La Estrella,0,639,0.00,2007
5390,Antioquia,La Pintada,0,115,0.00,2007
5400,Antioquia,La Unión,0,317,0.00,2007
5411,Antioquia,Liborina,0,173,0.00,2007
5425,Antioquia,Maceo,0,147,0.00,2007
5467,Antioquia,Montebello,0,92,0.00,2007
5475,Antioquia,Murindó,1,44,2272.73,2007
5483,Antioquia,Nariño,0,150,0.00,2007
5501,Antioquia,Olaya,0,44,0.00,2007
5541,Antioquia,Peñol,0,227,0.00,2007
5543,Antioquia,Peque,0,98,0.00,2007
5628,Antioquia,Sabanalarga,1,154,649.35,2007
5631,Antioquia,Sabaneta,0,458,0.00,2007
5647,Antioquia,San Andrés de Cuerquía,0,128,0.00,2007
5652,Antioquia,San Francisco,1,99,1010.10,2007
5656,Antioquia,San Jerónimo,0,162,0.00,2007
5658,Antioquia,San José de La Montaña,0,59,0.00,2007
5659,Antioquia,San Juan de Urabá,0,439,0.00,2007
5660,Antioquia,San Luis,0,233,0.00,2007
5664,Antioquia,San Pedro,0,434,0.00,2007
5670,Antioquia,San Roque,0,306,0.00,2007
5686,Antioquia,Santa Rosa de Osos,1,622,160.77,2007
5690,Antioquia,Santo Domingo,1,167,598.80,2007
5697,Antioquia,El Santuario,0,471,0.00,2007
5756,Antioquia,Sonson,1,639,156.49,2007
5761,Antioquia,Sopetrán,0,198,0.00,2007
5790,Antioquia,Tarazá,2,894,223.71,2007
5792,Antioquia,Tarso,0,91,0.00,2007
5809,Antioquia,Titiribí,0,136,0.00,2007
5819,Antioquia,Toledo,0,128,0.00,2007
5847,Antioquia,Urrao,1,421,237.53,2007
5854,Antioquia,Valdivia,1,392,255.10,2007
5856,Antioquia,Valparaíso,0,93,0.00,2007
5858,Antioquia,Vegachí,0,230,0.00,2007
5861,Antioquia,Venecia,0,209,0.00,2007
5885,Antioquia,Yalí,0,106,0.00,2007
5887,Antioquia,Yarumal,0,937,0.00,2007
5890,Antioquia,Yolombó,0,383,0.00,2007
5893,Antioquia,Yondó,0,280,0.00,2007
8141,Atlántico,Candelaria,0,181,0.00,2007
8421,Atlántico,Luruaco,0,379,0.00,2007
8436,Atlántico,Manatí,1,180,555.56,2007
8520,Atlántico,Palmar de Varela,0,364,0.00,2007
8549,Atlántico,Piojó,0,53,0.00,2007
8560,Atlántico,Ponedera,0,343,0.00,2007
8573,Atlántico,Puerto Colombia,0,426,0.00,2007
8770,Atlántico,Suan,0,97,0.00,2007
8832,Atlántico,Tubará,0,155,0.00,2007
8849,Atlántico,Usiacurí,0,136,0.00,2007
13006,Bolívar,Achí,1,300,333.33,2007
13042,Bolívar,Arenal,0,193,0.00,2007
13140,Bolívar,Calamar,1,217,460.83,2007
13188,Bolívar,Cicuco,0,212,0.00,2007
13212,Bolívar,Córdoba,0,156,0.00,2007
13222,Bolívar,Clemencia,0,145,0.00,2007
13268,Bolívar,El Peñón,0,129,0.00,2007
13300,Bolívar,Hatillo de Loba,0,143,0.00,2007
13440,Bolívar,Margarita,0,128,0.00,2007
13458,Bolívar,Montecristo,0,97,0.00,2007
13549,Bolívar,Pinillos,0,176,0.00,2007
13580,Bolívar,Regidor,0,93,0.00,2007
13620,Bolívar,San Cristóbal,0,79,0.00,2007
13647,Bolívar,San Estanislao,0,152,0.00,2007
13650,Bolívar,San Fernando,0,152,0.00,2007
13657,Bolívar,San Juan Nepomuceno,0,405,0.00,2007
13683,Bolívar,Santa Rosa,0,333,0.00,2007
13760,Bolívar,Soplaviento,0,68,0.00,2007
13838,Bolívar,Turbaná,0,209,0.00,2007
15022,Boyacá,Almeida,0,15,0.00,2007
15051,Boyacá,Arcabuco,0,91,0.00,2007
15087,Boyacá,Belén,0,124,0.00,2007
15090,Boyacá,Berbeo,0,44,0.00,2007
15092,Boyacá,Betéitiva,1,20,5000.00,2007
15097,Boyacá,Boavita,0,69,0.00,2007
15104,Boyacá,Boyacá,0,78,0.00,2007
15106,Boyacá,Briceño,0,42,0.00,2007
15109,Boyacá,Buenavista,0,77,0.00,2007
15114,Boyacá,Busbanzá,0,5,0.00,2007
15131,Boyacá,Caldas,0,31,0.00,2007
15135,Boyacá,Campohermoso,0,39,0.00,2007
15162,Boyacá,Cerinza,0,55,0.00,2007
15172,Boyacá,Chinavita,0,51,0.00,2007
15176,Boyacá,Chiquinquirá,0,1184,0.00,2007
15180,Boyacá,Chiscas,0,62,0.00,2007
15185,Boyacá,Chitaraque,0,95,0.00,2007
15187,Boyacá,Chivatá,0,49,0.00,2007
15189,Boyacá,Ciénega,0,63,0.00,2007
15204,Boyacá,Cómbita,0,150,0.00,2007
15212,Boyacá,Coper,0,48,0.00,2007
15215,Boyacá,Corrales,0,33,0.00,2007
15218,Boyacá,Covarachía,0,33,0.00,2007
15224,Boyacá,Cucaita,0,76,0.00,2007
15226,Boyacá,Cuítiva,0,31,0.00,2007
15232,Boyacá,Chíquiza,0,103,0.00,2007
15236,Boyacá,Chivor,0,22,0.00,2007
15244,Boyacá,El Cocuy,0,90,0.00,2007
15248,Boyacá,El Espino,0,38,0.00,2007
15272,Boyacá,Firavitoba,0,74,0.00,2007
15276,Boyacá,Floresta,0,55,0.00,2007
15317,Boyacá,Guacamayas,0,19,0.00,2007
15322,Boyacá,Guateque,0,134,0.00,2007
15325,Boyacá,Guayatá,0,38,0.00,2007
15332,Boyacá,Güicán,0,62,0.00,2007
15362,Boyacá,Iza,0,25,0.00,2007
15367,Boyacá,Jenesano,0,95,0.00,2007
15368,Boyacá,Jericó,2,70,2857.14,2007
15377,Boyacá,Labranzagrande,0,33,0.00,2007
15380,Boyacá,La Capilla,0,29,0.00,2007
15401,Boyacá,La Victoria,0,13,0.00,2007
15403,Boyacá,La Uvita,0,34,0.00,2007
15407,Boyacá,Villa de Leyva,0,194,0.00,2007
15425,Boyacá,Macanal,0,50,0.00,2007
15442,Boyacá,Maripí,0,92,0.00,2007
15455,Boyacá,Miraflores,0,166,0.00,2007
15466,Boyacá,Monguí,0,76,0.00,2007
15476,Boyacá,Motavita,0,122,0.00,2007
15480,Boyacá,Muzo,0,163,0.00,2007
15491,Boyacá,Nobsa,0,233,0.00,2007
15494,Boyacá,Nuevo Colón,0,101,0.00,2007
15500,Boyacá,Oicatá,1,41,2439.02,2007
15507,Boyacá,Otanche,0,152,0.00,2007
15511,Boyacá,Pachavita,0,35,0.00,2007
15514,Boyacá,Páez,0,32,0.00,2007
15518,Boyacá,Pajarito,0,28,0.00,2007
15522,Boyacá,Panqueba,1,25,4000.00,2007
15531,Boyacá,Pauna,0,120,0.00,2007
15533,Boyacá,Paya,0,21,0.00,2007
15537,Boyacá,Paz de Río,0,76,0.00,2007
15542,Boyacá,Pesca,0,133,0.00,2007
15550,Boyacá,Pisba,0,21,0.00,2007
15580,Boyacá,Quípama,0,75,0.00,2007
15599,Boyacá,Ramiriquí,0,197,0.00,2007
15600,Boyacá,Ráquira,1,98,1020.41,2007
15621,Boyacá,Rondón,0,33,0.00,2007
15632,Boyacá,Saboyá,0,178,0.00,2007
15638,Boyacá,Sáchica,0,59,0.00,2007
15646,Boyacá,Samacá,0,373,0.00,2007
15660,Boyacá,San Eduardo,0,23,0.00,2007
15664,Boyacá,San José de Pare,0,55,0.00,2007
15667,Boyacá,San Luis de Gaceno,0,105,0.00,2007
15673,Boyacá,San Mateo,0,46,0.00,2007
15676,Boyacá,San Miguel de Sema,0,57,0.00,2007
15681,Boyacá,San Pablo de Borbur,0,120,0.00,2007
15686,Boyacá,Santana,0,119,0.00,2007
15690,Boyacá,Santa María,0,72,0.00,2007
15696,Boyacá,Santa Sofía,0,46,0.00,2007
15720,Boyacá,Sativanorte,0,20,0.00,2007
15723,Boyacá,Sativasur,0,20,0.00,2007
15740,Boyacá,Siachoque,0,142,0.00,2007
15753,Boyacá,Soatá,0,129,0.00,2007
15755,Boyacá,Socotá,0,111,0.00,2007
15761,Boyacá,Somondoco,0,30,0.00,2007
15762,Boyacá,Sora,0,43,0.00,2007
15763,Boyacá,Sotaquirá,0,116,0.00,2007
15764,Boyacá,Soracá,2,116,1724.14,2007
15774,Boyacá,Susacón,0,41,0.00,2007
15776,Boyacá,Sutamarchán,0,78,0.00,2007
15778,Boyacá,Sutatenza,0,51,0.00,2007
15790,Boyacá,Tasco,0,94,0.00,2007
15798,Boyacá,Tenza,0,52,0.00,2007
15804,Boyacá,Tibaná,0,121,0.00,2007
15808,Boyacá,Tinjacá,0,29,0.00,2007
15810,Boyacá,Tipacoque,2,48,4166.67,2007
15814,Boyacá,Toca,0,165,0.00,2007
15816,Boyacá,Togüí,0,75,0.00,2007
15822,Boyacá,Tota,1,89,1123.60,2007
15832,Boyacá,Tununguá,0,21,0.00,2007
15835,Boyacá,Turmequé,0,108,0.00,2007
15837,Boyacá,Tuta,0,114,0.00,2007
15839,Boyacá,Tutazá,0,29,0.00,2007
15842,Boyacá,Umbita,0,115,0.00,2007
15861,Boyacá,Ventaquemada,0,259,0.00,2007
15879,Boyacá,Viracachá,0,46,0.00,2007
17042,Caldas,Anserma,0,518,0.00,2007
17050,Caldas,Aranzazu,0,175,0.00,2007
17088,Caldas,Belalcázar,0,179,0.00,2007
17174,Caldas,Chinchiná,0,840,0.00,2007
17272,Caldas,Filadelfia,0,157,0.00,2007
17388,Caldas,La Merced,0,87,0.00,2007
17442,Caldas,Marmato,0,123,0.00,2007
17446,Caldas,Marulanda,0,44,0.00,2007
17486,Caldas,Neira,0,380,0.00,2007
17495,Caldas,Norcasia,0,112,0.00,2007
17513,Caldas,Pácora,0,203,0.00,2007
17524,Caldas,Palestina,0,301,0.00,2007
17541,Caldas,Pensilvania,0,345,0.00,2007
17614,Caldas,Riosucio,0,789,0.00,2007
17616,Caldas,Risaralda,0,167,0.00,2007
17653,Caldas,Salamina,0,265,0.00,2007
17665,Caldas,San José,0,57,0.00,2007
17867,Caldas,Victoria,0,134,0.00,2007
17877,Caldas,Viterbo,2,184,1086.96,2007
18029,Caquetá,Albania,0,90,0.00,2007
18094,Caquetá,Belén de Los Andaquies,0,163,0.00,2007
18256,Caquetá,El Paujil,1,281,355.87,2007
18460,Caquetá,Milán,1,144,694.44,2007
18610,Caquetá,San José del Fragua,0,183,0.00,2007
18756,Caquetá,Solano,0,129,0.00,2007
18785,Caquetá,Solita,3,129,2325.58,2007
18860,Caquetá,Valparaíso,0,160,0.00,2007
19050,Cauca,Argelia,1,388,257.73,2007
19100,Cauca,Bolívar,0,490,0.00,2007
19110,Cauca,Buenos Aires,0,325,0.00,2007
19130,Cauca,Cajibío,0,629,0.00,2007
19137,Cauca,Caldono,2,274,729.93,2007
19212,Cauca,Corinto,0,349,0.00,2007
19355,Cauca,Inzá,0,460,0.00,2007
19397,Cauca,La Vega,0,176,0.00,2007
19450,Cauca,Mercaderes,0,223,0.00,2007
19455,Cauca,Miranda,0,376,0.00,2007
19473,Cauca,Morales,0,261,0.00,2007
19533,Cauca,Piamonte,0,64,0.00,2007
19548,Cauca,Piendamó,0,442,0.00,2007
19585,Cauca,Puracé,0,152,0.00,2007
19622,Cauca,Rosas,0,121,0.00,2007
19693,Cauca,San Sebastián,0,97,0.00,2007
19698,Cauca,Santander de Quilichao,0,1372,0.00,2007
19701,Cauca,Santa Rosa,0,20,0.00,2007
19760,Cauca,Sotara,0,104,0.00,2007
19807,Cauca,Timbío,0,454,0.00,2007
19824,Cauca,Totoró,1,319,313.48,2007
19845,Cauca,Villa Rica,2,261,766.28,2007
20032,Cesar,Astrea,0,411,0.00,2007
20045,Cesar,Becerril,1,250,400.00,2007
20060,Cesar,Bosconia,0,691,0.00,2007
20175,Cesar,Chimichagua,2,534,374.53,2007
20178,Cesar,Chiriguaná,0,634,0.00,2007
20238,Cesar,El Copey,0,489,0.00,2007
20250,Cesar,El Paso,0,560,0.00,2007
20310,Cesar,González,0,71,0.00,2007
20517,Cesar,Pailitas,0,331,0.00,2007
20550,Cesar,Pelaya,0,401,0.00,2007
20614,Cesar,Río de Oro,0,196,0.00,2007
20710,Cesar,San Alberto,0,436,0.00,2007
20750,Cesar,San Diego,0,282,0.00,2007
20770,Cesar,San Martín,0,423,0.00,2007
20787,Cesar,Tamalameque,0,267,0.00,2007
23068,Córdoba ,Ayapel,2,599,333.89,2007
23079,Córdoba ,Buenavista,1,336,297.62,2007
23090,Córdoba ,Canalete,0,278,0.00,2007
23168,Córdoba ,Chimá,0,141,0.00,2007
23182,Córdoba ,Chinú,1,508,196.85,2007
23350,Córdoba ,La Apartada,0,171,0.00,2007
23464,Córdoba ,Momil,0,180,0.00,2007
23555,Córdoba ,Planeta Rica,2,1083,184.67,2007
23570,Córdoba ,Pueblo Nuevo,1,267,374.53,2007
23574,Córdoba ,Puerto Escondido,0,295,0.00,2007
23586,Córdoba ,Purísima,0,201,0.00,2007
23670,Córdoba ,San Andrés Sotavento,3,542,553.51,2007
23675,Córdoba ,San Bernardo del Viento,1,440,227.27,2007
23678,Córdoba ,San Carlos,0,225,0.00,2007
23686,Córdoba ,San Pelayo,0,344,0.00,2007
25001,Cundinamarca,Agua de Dios,0,147,0.00,2007
25019,Cundinamarca,Albán,0,76,0.00,2007
25035,Cundinamarca,Anapoima,0,169,0.00,2007
25040,Cundinamarca,Anolaima,0,185,0.00,2007
25053,Cundinamarca,Arbeláez,0,198,0.00,2007
25086,Cundinamarca,Beltrán,0,14,0.00,2007
25095,Cundinamarca,Bituima,0,24,0.00,2007
25099,Cundinamarca,Bojacá,0,102,0.00,2007
25123,Cundinamarca,Cachipay,0,139,0.00,2007
25151,Cundinamarca,Caqueza,0,300,0.00,2007
25154,Cundinamarca,Carmen de Carupa,1,149,671.14,2007
25168,Cundinamarca,Chaguaní,0,46,0.00,2007
25178,Cundinamarca,Chipaque,0,131,0.00,2007
25181,Cundinamarca,Choachí,1,153,653.59,2007
25183,Cundinamarca,Chocontá,0,428,0.00,2007
25200,Cundinamarca,Cogua,0,305,0.00,2007
25224,Cundinamarca,Cucunubá,0,137,0.00,2007
25245,Cundinamarca,El Colegio,0,253,0.00,2007
25258,Cundinamarca,El Peñón,0,55,0.00,2007
25279,Cundinamarca,Fomeque,0,202,0.00,2007
25281,Cundinamarca,Fosca,0,110,0.00,2007
25286,Cundinamarca,Funza,0,1115,0.00,2007
25288,Cundinamarca,Fúquene,0,74,0.00,2007
25293,Cundinamarca,Gachala,0,51,0.00,2007
25295,Cundinamarca,Gachancipá,0,237,0.00,2007
25297,Cundinamarca,Gachetá,0,186,0.00,2007
25299,Cundinamarca,Gama,0,62,0.00,2007
25312,Cundinamarca,Granada,0,99,0.00,2007
25317,Cundinamarca,Guachetá,0,236,0.00,2007
25320,Cundinamarca,Guaduas,0,369,0.00,2007
25322,Cundinamarca,Guasca,0,201,0.00,2007
25324,Cundinamarca,Guataquí,0,28,0.00,2007
25326,Cundinamarca,Guatavita,0,94,0.00,2007
25328,Cundinamarca,Guayabal de Siquima,0,50,0.00,2007
25335,Cundinamarca,Guayabetal,0,71,0.00,2007
25339,Cundinamarca,Gutiérrez,0,41,0.00,2007
25368,Cundinamarca,Jerusalén,0,27,0.00,2007
25377,Cundinamarca,La Calera,0,367,0.00,2007
25386,Cundinamarca,La Mesa,0,394,0.00,2007
25394,Cundinamarca,La Palma,0,108,0.00,2007
25398,Cundinamarca,La Peña,0,60,0.00,2007
25407,Cundinamarca,Lenguazaque,0,215,0.00,2007
25426,Cundinamarca,Macheta,0,61,0.00,2007
25436,Cundinamarca,Manta,0,46,0.00,2007
25483,Cundinamarca,Nariño,0,23,0.00,2007
25486,Cundinamarca,Nemocón,0,235,0.00,2007
25489,Cundinamarca,Nimaima,0,18,0.00,2007
25491,Cundinamarca,Nocaima,0,57,0.00,2007
25506,Cundinamarca,Venecia,1,57,1754.39,2007
25513,Cundinamarca,Pacho,0,417,0.00,2007
25518,Cundinamarca,Paime,0,51,0.00,2007
25524,Cundinamarca,Pandi,0,40,0.00,2007
25530,Cundinamarca,Paratebueno,0,112,0.00,2007
25580,Cundinamarca,Pulí,0,18,0.00,2007
25592,Cundinamarca,Quebradanegra,0,41,0.00,2007
25594,Cundinamarca,Quetame,0,80,0.00,2007
25599,Cundinamarca,Apulo,0,92,0.00,2007
25645,Cundinamarca,San Antonio del Tequendama,0,124,0.00,2007
25649,Cundinamarca,San Bernardo,0,132,0.00,2007
25653,Cundinamarca,San Cayetano,0,71,0.00,2007
25658,Cundinamarca,San Francisco,0,103,0.00,2007
25662,Cundinamarca,San Juan de Río Seco,0,146,0.00,2007
25718,Cundinamarca,Sasaima,0,150,0.00,2007
25736,Cundinamarca,Sesquilé,0,154,0.00,2007
25740,Cundinamarca,Sibaté,1,453,220.75,2007
25743,Cundinamarca,Silvania,0,338,0.00,2007
25745,Cundinamarca,Simijaca,0,216,0.00,2007
25758,Cundinamarca,Sopó,1,325,307.69,2007
25777,Cundinamarca,Supatá,0,46,0.00,2007
25779,Cundinamarca,Susa,0,117,0.00,2007
25781,Cundinamarca,Sutatausa,0,84,0.00,2007
25785,Cundinamarca,Tabio,0,288,0.00,2007
25797,Cundinamarca,Tena,0,80,0.00,2007
25805,Cundinamarca,Tibacuy,0,59,0.00,2007
25807,Cundinamarca,Tibirita,0,31,0.00,2007
25815,Cundinamarca,Tocaima,0,198,0.00,2007
25817,Cundinamarca,Tocancipá,0,471,0.00,2007
